Depth profiles at each cell, TRIGRS, v. 2.1.00a
Finite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
 0.80000      0.31180     -0.46346      0.77526      0.52967       1.9748    
  1.0000      0.33729     -0.33104      0.66833      0.66209       1.9069    
  1.2000      0.38277     -0.19863      0.58140      0.79450       1.8466    
  1.4000      0.44796     -0.66209E-01  0.51417      0.92692       1.7908    
  1.6000      0.53257      0.66209E-01  0.46636       1.0593       1.7379    
  1.8000      0.63640      0.19863      0.43777       1.1918       1.6871    
  2.0000      0.75930      0.33104      0.42826       1.3242       1.6379    
cell           14  23.0           1   172800.00    
  0.0000       0.0000     -0.97099       1.2587       0.0000       10.000    
 0.20000      0.12947     -0.84153       1.0696      0.12947       3.2998    
 0.40000      0.19039     -0.71206      0.90246      0.25893       2.3426    
 0.60000      0.17424     -0.58260      0.75684      0.38840       2.1350    
 0.80000      0.17922     -0.45313      0.63235      0.51786       2.0082    
  1.0000      0.20481     -0.32366      0.52847      0.64733       1.9143    
  1.2000      0.25039     -0.19420      0.44459      0.77680       1.8372    
  1.4000      0.31537     -0.64733E-01  0.38011      0.90626       1.7702    
  1.6000      0.39922      0.64733E-01  0.33449       1.0357       1.7097    
  1.8000      0.50150      0.19420      0.30730       1.1652       1.6537    
  2.0000      0.62193      0.32366      0.29827       1.2947       1.6011    
cell           14  23.0           2   216000.00    
  0.0000       0.0000     -0.97099       1.4221       0.0000       10.000    
 0.20000      0.12947     -0.84153       1.2326      0.12947       3.2998    
 0.40000      0.25893     -0.71206       1.0639      0.25893       2.1940    
 0.60000      0.33336     -0.58260      0.91595      0.38840       1.9050    
 0.80000      0.33542     -0.45313      0.78855      0.51786       1.8389    
  1.0000      0.35776     -0.32366      0.68142      0.64733       1.7817    
  1.2000      0.40010     -0.19420      0.59430      0.77680       1.7290    
  1.4000      0.46216     -0.64733E-01  0.52689      0.90626       1.6793    
  1.6000      0.54368      0.64733E-01  0.47895       1.0357       1.6314    
  1.8000      0.64447      0.19420      0.45027       1.1652       1.5848    
  2.0000      0.76439      0.32366      0.44073       1.2947       1.5393    
cell           15  21.8           1   172800.00    
  0.0000       0.0000     -0.99313       1.2472       0.0000       10.000    
 0.20000      0.13242     -0.86071       1.0582      0.13242       3.4587    
 0.40000      0.16284     -0.72829      0.89113      0.26483       2.5359    
 0.60000      0.14987     -0.59588      0.74575      0.39725       2.2937    
 0.80000      0.15810     -0.46346      0.62156      0.52967       2.1486    
  1.0000      0.18696     -0.33104      0.51800      0.66209       2.0429    
  1.2000      0.23582     -0.19863      0.43444      0.79450       1.9574    
  1.4000      0.30404     -0.66209E-01  0.37025      0.92692       1.8838    
  1.6000      0.39107      0.66209E-01  0.32486       1.0593       1.8179    
  1.8000      0.49645      0.19863      0.29782       1.1918       1.7575    
  2.0000      0.61989      0.33104      0.28884       1.3242       1.7010    
cell           15  21.8           2   216000.00    
  0.0000       0.0000     -0.99313       1.4084       0.0000       10.000    
 0.20000      0.13242     -0.86071       1.2189      0.13242       3.4587    
 0.40000      0.26483     -0.72829       1.0503      0.26483       2.3052    
 0.60000      0.30662     -0.59588      0.90250      0.39725       2.0573    
 0.80000      0.31180     -0.46346      0.77526      0.52967       1.9748    
  1.0000      0.33729     -0.33104      0.66833      0.66209       1.9069    
  1.2000      0.38277     -0.19863      0.58140      0.79450       1.8466    
  1.4000      0.44796     -0.66209E-01  0.51417      0.92692       1.7908    
  1.6000      0.53257      0.66209E-01  0.46636       1.0593       1.7379    
  1.8000      0.63640      0.19863      0.43777       1.1918       1.6871    
  2.0000      0.75930      0.33104      0.42826       1.3242       1.6379    
cell           16  21.8           1   172800.00    
  0.0000       0.0000     -0.99313       1.2472       0.0000       10.000    
 0.20000      0.13242     -0.86071       1.0582      0.13242       3.4587    
 0.40000      0.16284     -0.72829      0.89113      0.26483       2.5359    
 0.60000      0.14987     -0.59588      0.74575      0.39725       2.2937    
 0.80000      0.15810     -0.46346      0.62156      0.52967       2.1486    
  1.0000      0.18696     -0.33104      0.51800      0.66209       2.0429    
  1.2000      0.23582     -0.19863      0.43444      0.79450       1.9574    
  1.4000      0.30404     -0.66209E-01  0.37025      0.92692       1.8838    
  1.6000      0.39107      0.66209E-01  0.32486       1.0593       1.8179    
  1.8000      0.49645      0.19863      0.29782       1.1918       1.7575    
  2.0000      0.61989      0.33104      0.28884       1.3242       1.7010    
cell           16  21.8           2   216000.00    
  0.0000       0.0000     -0.99313       1.4084       0.0000       10.000    
 0.20000      0.13242     -0.86071       1.2189      0.13242       3.4587    
 0.40000      0.26483     -0.72829       1.0503      0.26483       2.3052    
 0.60000      0.30662     -0.59588      0.90250      0.39725       2.0573    
 0.80000      0.31180     -0.46346      0.77526      0.52967       1.9748    
